               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03166,             0.03162,                   0,             0.88416,             0.84967,             0.90162,             0.61153,            0.028779,           0.0099665,                   0,           0.0060289,           0.0060289,           0.0060289
                  39,            0.031809,            0.030014,                   0,             0.88778,             0.83007,             0.89949,             0.60843,            0.028387,            0.010057,                   0,           0.0058531,           0.0058531,           0.0058531
                  40,            0.030714,            0.029543,                   0,             0.93749,             0.78423,             0.91122,             0.62659,             0.02975,           0.0095363,                   0,           0.0056767,           0.0056767,           0.0056767
                  41,            0.030682,            0.028739,                   0,             0.91364,             0.76471,             0.88579,             0.60837,            0.030393,            0.010647,                   0,              0.0055,              0.0055,              0.0055
                  42,            0.030482,            0.028853,                   0,             0.90545,             0.81699,              0.8986,             0.61402,            0.030706,            0.011009,                   0,           0.0053233,           0.0053233,           0.0053233
                  43,            0.030735,            0.028791,                   0,             0.92281,             0.78431,             0.87562,              0.6193,            0.032117,            0.011011,                   0,           0.0051469,           0.0051469,           0.0051469
                  44,            0.029711,            0.028532,                   0,             0.88041,             0.82353,             0.86234,             0.59576,            0.031955,            0.010989,                   0,           0.0049711,           0.0049711,           0.0049711
                  45,            0.030461,            0.029037,                   0,             0.93723,             0.79085,             0.88192,              0.6198,            0.031719,            0.010377,                   0,            0.004796,            0.004796,            0.004796
                  46,            0.029126,            0.026819,                   0,             0.95407,             0.81699,             0.91594,             0.63151,            0.031336,            0.010061,                   0,           0.0046221,           0.0046221,           0.0046221
                  47,            0.029397,            0.028087,                   0,             0.88187,             0.83007,             0.90523,             0.63496,            0.029529,            0.010255,                   0,           0.0044495,           0.0044495,           0.0044495
                  48,             0.02863,            0.027608,                   0,             0.93258,             0.81699,             0.91561,             0.62255,            0.029974,            0.010231,                   0,           0.0042785,           0.0042785,           0.0042785
                  49,            0.028043,            0.028163,                   0,             0.91032,             0.86275,             0.91681,             0.63538,            0.029175,            0.010416,                   0,           0.0041094,           0.0041094,           0.0041094
                  50,             0.02715,            0.025162,                   0,             0.94572,             0.79709,             0.89812,             0.63227,            0.029683,            0.010157,                   0,           0.0039425,           0.0039425,           0.0039425
                  51,            0.027653,            0.026883,                   0,              0.9248,             0.80381,             0.88504,             0.61846,            0.030919,            0.011591,                   0,           0.0037779,           0.0037779,           0.0037779
                  52,            0.027558,            0.025883,                   0,             0.91906,             0.81699,             0.88675,             0.63199,            0.030055,            0.011311,                   0,            0.003616,            0.003616,            0.003616
                  53,            0.027746,            0.027229,                   0,              0.9674,             0.77778,             0.90855,              0.6358,             0.03158,            0.010904,                   0,            0.003457,            0.003457,            0.003457
